txn_id,timestamp,user_id,target_user_id,amount,ip,device_id,card_hash,ip_velocity,device_age_hours,geo_mismatch,session_duration,hour_of_day,is_new_account,is_new_payee,agentic_behavior_score,amount_zscore,label
txn_b6bb336b271b,1700000241.6213877,u_49,u_3429,940.0417760403054,ip_242.3.175.185,dev_ec2452da,card_e56d067c,0,0.0,0,380.4705662241003,22,1,1,0.1,0.0,0
txn_ac2704248340,1700000312.3986,u_29,u_667,480.07978743824407,ip_42.119.98.70,dev_a5f6407f,card_f3ab16c8,0,0.0,0,341.10377263870976,22,1,0,0.1,0.0,0
txn_c388c556ce62,1700000511.2564979,u_1433,u_612,1080.0705112610478,ip_153.57.8.230,dev_4522f6d1,card_0eaa1493,0,0.0,0,397.2404732186548,22,1,1,0.1,0.0,0
txn_d406446d3d35,1700001273.1863525,u_4167,u_4741,751.7340790571552,ip_71.3.26.97,dev_5af0da57,card_6559673b,0,0.0,0,203.41852378903295,22,1,1,0.1,0.0,0
txn_ef74565706d5,1700001549.4412096,u_1478,u_329,867.3203692233491,ip_27.240.128.37,dev_9e69380f,card_f98f57f5,0,0.0,0,595.7434604805819,22,1,1,0.1,0.0,0
txn_7e7f6d3ae385,1700001782.4216368,u_1823,u_1096,3478.532040577535,ip_151.140.190.155,dev_0711cb6d,card_fcd69ea6,0,0.0,0,186.72208157868414,22,1,1,0.1,0.0,0
txn_1a27ee1ed80a,1700002014.4798062,u_33,u_2160,1302.6989935603683,ip_59.211.9.207,dev_74dd6c22,card_b9cb5b24,0,0.0,0,289.28454158089744,22,1,1,0.1,0.0,0
txn_bcf5f6b2b64b,1700002050.2013535,u_1502,u_875,2723.744306553144,ip_168.43.156.228,dev_035ea626,card_93826350,0,0.0,0,396.3854922317115,22,1,1,0.1,0.0,0
txn_27d09ad05db2,1700002099.3703783,u_1271,u_1742,109.73720154291357,ip_43.14.102.161,dev_16b83527,card_b3d61464,0,0.0,0,371.69443972027693,22,1,0,0.1,0.0,0
txn_2be77f42984d,1700003126.340367,u_525,u_2588,1969.6176250726955,ip_103.110.176.28,dev_26691c4e,card_0a3b5f21,0,0.0,0,367.2332593516102,23,1,0,0.1,0.0,0
txn_31a13ae3cf57,1700003289.4732604,u_698,u_4877,1537.7032453762083,ip_118.17.29.215,dev_40ab5bad,card_9de1c3f5,0,0.0,0,469.4126032143484,23,1,1,0.1,0.0,0
txn_338cbdfd537f,1700004262.574472,u_2303,u_4,3490.3705213962176,ip_77.10.188.207,dev_55559c2c,card_5958973f,0,0.0,0,258.858286449755,23,1,1,0.1,0.0,0
txn_2b9ac9cd77bb,1700004828.5239196,u_4836,u_1055,292.7727466727003,ip_170.214.1.13,dev_1d6bfa89,card_d2a0e60a,0,0.0,0,332.0114905932073,23,1,0,0.1,0.0,0
txn_deefea64e00c,1700005039.5973482,u_131,u_37,2055.1506123188014,ip_181.78.157.252,dev_48675c35,card_e275d06d,0,0.0,0,142.17892081338488,23,1,0,0.1,0.0,0
txn_f629fab52959,1700005114.6835244,u_41,u_389,1329.3276710109526,ip_150.110.230.150,dev_6d366c34,card_ebdbfc72,0,0.0,0,549.3187971879612,23,1,1,0.1,0.0,0
txn_c9a64b424f90,1700005243.6826324,u_1834,u_1201,2209.363251301411,ip_199.239.161.158,dev_d901f7b0,card_ae161053,0,0.0,0,469.6936165815838,23,1,1,0.1,0.0,0
txn_b72303f7e6db,1700005525.8527684,u_7,u_150,192.82224741480536,ip_167.180.140.108,dev_4f1aa1bb,card_7c78b9a9,0,0.0,0,5.30208118752589,23,1,0,0.1,0.0,0
txn_5bc7d35d7e19,1700005702.0840008,u_61,u_735,261.8926904641986,ip_236.1.154.83,dev_d5482960,card_614b2ca2,0,0.0,0,347.4008126872454,23,1,1,0.1,0.0,0
txn_44c34643b7bc,1700005797.8124874,u_72,u_4,10673.196196369558,ip_213.209.107.39,dev_4d10afe6,card_61a07183,0,0.0,0,296.10225525306623,23,1,1,0.1,0.0,0
txn_b6a2b5583ac9,1700006760.9789157,u_123,u_555,3758.8588925105123,ip_172.166.77.118,dev_2cda6b30,card_5d6bea5b,0,0.0,0,82.18641467802976,0,1,0,0.1,0.0,0
txn_896107ecb118,1700006896.1370485,u_51,u_4331,5034.464911951964,ip_193.69.197.165,dev_487a6005,card_f1405375,0,0.0,0,512.4148588842895,0,1,0,0.1,0.0,0
txn_1efe8ae0ccb7,1700007366.3181603,u_103,u_638,530.057728711345,ip_98.1.253.100,dev_cf9ffbeb,card_f9d08856,0,0.0,0,285.15414066501216,0,1,1,0.1,0.0,0
txn_281418721403,1700007461.150235,u_917,u_828,571.912447801595,ip_130.120.70.50,dev_3af6f7f7,card_ae8ff624,0,0.0,0,179.4569789151021,0,1,1,0.1,0.0,0
txn_3db44938bf4a,1700007904.7966657,u_3599,u_884,564.1592960856518,ip_172.114.173.32,dev_004b76a1,card_06a543de,0,0.0,0,95.5540581357221,0,1,0,0.1,0.0,0
txn_7e2a19c0d199,1700008317.7247212,u_3793,u_4465,3225.7754455882173,ip_24.44.27.173,dev_2abf25d3,card_449f6bfc,0,0.0,0,86.43502429472665,0,1,1,0.1,0.0,0
txn_82c2d768194c,1700008697.7814424,u_349,u_4965,1376.1798016692312,ip_212.37.19.16,dev_12fb03dc,card_c9653aeb,0,0.0,0,594.8897291678553,0,1,1,0.1,0.0,0
txn_d243c1ce0b7b,1700009045.4821477,u_1177,u_4882,4843.533093731775,ip_41.85.144.110,dev_7033481c,card_795fa5de,0,0.0,0,563.0834862153667,0,1,0,0.1,0.0,0
txn_78799a43a7f4,1700009260.7419937,u_1128,u_1602,3969.542834433366,ip_250.153.35.77,dev_31b9bcb8,card_06ceeba4,0,0.0,0,344.8998417369879,0,1,0,0.1,0.0,0
txn_0eb9a95bd65a,1700009948.3384898,u_4,u_984,8456.886571227496,ip_109.9.8.24,dev_7dde618f,card_e091897b,0,0.0,0,128.5809464316293,0,1,0,0.1,0.0,0
txn_8deab41f5ba3,1700010144.0115387,u_2409,u_1110,4618.916983828773,ip_172.253.52.194,dev_531aa7ce,card_843a92dd,0,0.0,0,494.5301713901368,1,1,1,0.1,0.0,0
txn_075e355f1ab5,1700010619.535305,u_2721,u_4415,822.3912442752531,ip_18.126.251.238,dev_328dfdc9,card_020dc4df,0,0.0,0,449.0850975149428,1,1,0,0.1,0.0,0
txn_919e02afd7f2,1700011149.2756333,u_78,u_577,1248.1099773381568,ip_142.59.151.57,dev_2cac8ca2,card_977f58fc,0,0.0,0,134.74483649531064,1,1,1,0.1,0.0,0
txn_dc130d670947,1700011549.6185613,u_7,u_3053,7876.07594714464,ip_167.180.140.108,dev_4f1aa1bb,card_7c78b9a9,0,1.6732682757907444,0,393.037645790657,1,1,1,0.1,0.0,0
txn_5567446279d0,1700011795.5125644,u_4736,u_1663,1206.1691452713142,ip_83.198.188.124,dev_9a27fba9,card_e03917e0,0,0.0,0,267.29797095810136,1,1,0,0.1,0.0,0
txn_0d30a2a7d4b1,1700011831.4205635,u_3627,u_4849,857.5314660976032,ip_241.110.165.173,dev_44b33b03,card_cd8b675a,0,0.0,0,396.39021990566044,1,1,1,0.1,0.0,0
txn_80358f52a8cc,1700011979.1721473,u_2743,u_3853,851.3269232300684,ip_24.94.137.219,dev_32cbea6d,card_ae551e72,0,0.0,0,432.032037078893,1,1,1,0.1,0.0,0
txn_cabf5b9ac940,1700012243.9537911,u_498,u_1992,4968.333420658011,ip_231.251.166.92,dev_fc9644bf,card_59b820f8,0,0.0,0,517.2791232519688,1,1,1,0.1,0.0,0
txn_a245fe5fd4eb,1700012304.5861237,u_3400,u_2046,366.97617685031076,ip_73.177.192.23,dev_8b7e5337,card_3b10b1e3,0,0.0,0,242.48797541031462,1,1,0,0.1,0.0,0
txn_e684e4e923b9,1700012366.693924,u_539,u_3764,4065.370022869189,ip_25.81.110.81,dev_344c84ac,card_5f15a1cf,0,0.0,0,73.41094133279111,1,1,1,0.1,0.0,0
txn_0ce0fd1595d2,1700012685.661146,u_2413,u_1261,2210.215040376039,ip_222.118.228.64,dev_e63e772e,card_e3a5c958,0,0.0,0,523.1355824314847,1,1,1,0.1,0.0,0
txn_5b29b7049a74,1700012687.6850805,u_686,u_45,2897.322693504629,ip_239.26.215.183,dev_c15a8d43,card_b72ad08a,0,0.0,0,409.9127440823366,1,1,0,0.1,0.0,0
txn_f5bbb5f63f0e,1700013120.1039414,u_21,u_0,283.43463071803194,ip_77.130.80.171,dev_b902a901,card_b7ee0079,0,0.0,0,305.64835672396066,1,1,0,0.1,0.0,0
txn_543d17e5871a,1700013371.8266003,u_2662,u_10,877.0055998453086,ip_33.130.20.218,dev_c93297ae,card_9719bc93,0,0.0,0,487.9234349345218,1,1,1,0.1,0.0,0
txn_06ca08c18ef5,1700013410.2570026,u_1676,u_703,6429.8976181428425,ip_13.170.28.168,dev_7df27a75,card_21a08304,0,0.0,0,574.7918518611415,1,1,0,0.1,0.0,0
txn_c6d96c096f2a,1700013856.597984,u_3891,u_77,216.16725079538878,ip_60.129.151.181,dev_4175c45c,card_a217534f,0,0.0,0,352.2117566039849,2,1,0,0.1,0.0,0
txn_405c37f2c8dc,1700013944.0073962,u_3225,u_2063,2155.124017927766,ip_205.73.51.22,dev_222a466c,card_c94df4ca,0,0.0,0,588.3583535971554,2,1,0,0.1,0.0,0
txn_69e5b6106d44,1700013949.9035897,u_232,u_2288,2793.19404321691,ip_178.40.181.55,dev_17607202,card_e0560432,0,0.0,0,263.8958441934927,2,1,0,0.1,0.0,0
txn_f98c9f4eebf1,1700014112.7320137,u_4637,u_199,472.9242779134566,ip_118.238.153.32,dev_d507b5bc,card_b945dd0d,0,0.0,0,389.2911495849404,2,1,0,0.1,0.0,0
txn_0892eac6f81e,1700014357.7378778,u_4693,u_862,2708.8914061593387,ip_221.172.20.147,dev_17963fbf,card_1da0c07b,0,0.0,0,325.8990624049365,2,1,0,0.1,0.0,0
txn_8eb1451f2e2a,1700014737.685465,u_4548,u_2730,1000.0038762125607,ip_247.193.77.43,dev_e2f80f0f,card_90545458,0,0.0,0,295.10894448378684,2,1,1,0.1,0.0,0
